,Variable,Mean,SD
0,2010_BD_K3,0.1069866692232,0.19094632580382553
1,2010_BD_K5,0.1324304,0.2087512496710129
2,2010_BD_K7,0.14392489930379998,0.21463994937000658
3,2010_BD_K9,0.15059111094803998,0.2173228077668389
4,2010_BD_K11,0.15516231417204002,0.21874674535403096
5,2010_BD_K13,0.15841349137275998,0.21947029918077077
6,2010_VD_K5,0.2782336,0.39940379162770934
7,2010_AD_K5,0.2553408,0.30274605540340654
8,2010_dist_builtup,0.9175916609631201,0.1348928248919943
9,2010_r1_dist,0.8347296728028399,0.17330685927655443
10,2010_r2_dist,0.85469128125,0.19904590734476124
11,2010_r3_dist,0.8542845818964,0.2463613986178796
12,dist_hospitals,0.76881095562468,0.20164689238469055
13,dist_hotels,0.76263945413846,0.18686494425264652
14,dist_water,0.8166549315804001,0.2086209575930486
15,elevation,0.33202908308392004,0.14453057373860942
16,slope,0.1793690452266356,0.14725415687016674
